Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,TEMP_MOY,HUMIDITY_MAX_PERCENT,HUMIDITY_EST_AVG,WINDSPEED_MAX_KMH,WINDSPEED_AVG_KMH,PRECIP_TOTAL_DAY_MM,SUNHOUR,SR_EST_W_m2,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,Toluène,Benzène,CO,NO2,SO2,O3,PM2.5,PM10,AQI,City
2024-09-21,24,15,18.75,95,71.25,15,9.0,0.1,11,1650,1019,51.25,1.536610125,0.6210551666666667,227.70833333333331,20.3875,2.5541666666666667,63.66666666666666,19.45,23.620833333333334,36.963542708333335,London
2024-09-22,20,16,17.75,85,63.75,13,7.8,4.8,1,150,1015,86.5,1.4647827083333336,0.5458434583333334,221.0,23.695833333333336,1.8625,54.833333333333336,10.433333333333334,12.441666666666668,29.965624958333333,London
2024-09-23,20,14,16.5,94,70.5,13,7.8,0.1,7,1050,1008,64.75,1.6438575,0.5594267083333333,218.04166666666663,22.504166666666663,1.8833333333333333,43.875,6.083333333333333,7.158333333333334,20.847569375,London
2024-09-24,17,13,14.5,91,68.25,15,9.0,0.5,4,600,1005,92.125,1.3609934166666668,0.4651338333333333,193.16666666666663,18.0625,2.1041666666666665,56.16666666666666,11.504166666666668,14.5875,22.735763916666667,London
2024-09-25,16,12,13.75,89,66.75,12,7.199999999999999,0.9,4,600,1004,88.625,1.617938,0.4124981,187.45833333333331,22.42083333333333,2.6125000000000003,53.333333333333336,7.725,10.354166666666666,23.32916708333333,London
2024-09-26,17,12,14.0,97,72.75,17,10.2,5.6,3,450,991,82.375,1.4794497450465702,0.5096071954807737,176.375,18.28333333333333,1.6416666666666666,49.208333333333336,4.145833333333333,7.429166666666667,19.84444420833333,London
2024-09-27,13,9,11.0,85,63.75,23,13.8,4.2,5,750,1015,74.625,0.558705,0.2921163333333333,181.66666666666663,13.283333333333331,1.3875,49.0,4.504166666666666,8.075000000000001,19.599999916666665,London
2024-09-28,14,7,9.75,75,56.25,12,7.199999999999999,0.0,11,1650,1027,20.75,1.6673505833333333,0.5592837826086957,211.33333333333331,21.491666666666664,2.595833333333333,40.91666666666666,7.370833333333334,10.929166666666667,20.641666583333333,London
2024-09-29,14,9,11.0,64,48.0,19,11.4,0.4,9,1350,1027,35.25,1.153941086956522,0.3743292083333333,197.5,15.720833333333331,1.8916666666666664,53.958333333333336,6.445833333333333,9.529166666666669,24.237985958333336,London
2024-09-30,16,12,14.5,97,72.75,24,14.4,1.8,1,150,1008,100.0,1.4794497450465702,0.5096071954807737,170.70833333333334,12.0375,1.1916666666666669,50.29166666666666,3.2,5.391666666666667,20.116666625,London
